link,t,x,delta_t,delta_x,q,k,v
link2,600,800.0,120,100.0,0.6145833333333334,0.030902777777777782,19.8876404494382
link2,600,900.0,120,100.0,0.5729166666666666,0.044097222222222225,12.992125984251967
link2,720,0.0,120,100.0,0.625,0.033854166666666664,18.461538461538463
link2,720,100.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,720,200.0,120,100.0,0.6145833333333334,0.030729166666666665,20.000000000000004
link2,720,300.0,120,100.0,0.59375,0.0296875,20.0
link2,720,400.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,720,500.0,120,100.0,0.625,0.03125,20.0
link2,720,600.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,720,700.0,120,100.0,0.6145833333333334,0.030729166666666665,20.000000000000004
link2,720,800.0,120,100.0,0.59375,0.0328125,18.095238095238095
link2,720,900.0,120,100.0,0.6041666666666666,0.0484375,12.473118279569892
link2,840,0.0,120,100.0,0.5833333333333334,0.03177083333333333,18.36065573770492
link2,840,100.0,120,100.0,0.6145833333333334,0.030729166666666665,20.000000000000004
link2,840,200.0,120,100.0,0.59375,0.0296875,20.0
link2,840,300.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,840,400.0,120,100.0,0.625,0.03125,20.0
link2,840,500.0,120,100.0,0.5833333333333334,0.029166666666666664,20.000000000000004
link2,840,600.0,120,100.0,0.6145833333333334,0.030729166666666665,20.000000000000004
link2,840,700.0,120,100.0,0.59375,0.0296875,20.0
link2,840,800.0,120,100.0,0.5833333333333334,0.03125,18.666666666666668
link2,840,900.0,120,100.0,0.6145833333333334,0.04583333333333333,13.40909090909091
link2,960,0.0,120,100.0,0.25,0.013541666666666667,18.46153846153846
link2,960,100.0,120,100.0,0.2604166666666667,0.013020833333333332,20.000000000000004
link2,960,200.0,120,100.0,0.2916666666666667,0.014583333333333332,20.000000000000004
link2,960,300.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link2,960,400.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link2,960,500.0,120,100.0,0.375,0.01875,20.0
link2,960,600.0,120,100.0,0.38541666666666663,0.019270833333333334,19.999999999999996
link2,960,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link2,960,800.0,120,100.0,0.45833333333333337,0.0234375,19.555555555555557
link2,960,900.0,120,100.0,0.46875,0.033854166666666664,13.846153846153847
link2,1080,0.0,120,100.0,0.0,0.0,20.0
link2,1080,100.0,120,100.0,0.0,0.0,20.0
link2,1080,200.0,120,100.0,0.0,0.0,20.0
link2,1080,300.0,120,100.0,0.0,0.0,20.0
link2,1080,400.0,120,100.0,0.0,0.0,20.0
link2,1080,500.0,120,100.0,0.0,0.0,20.0
link2,1080,600.0,120,100.0,0.0,0.0,20.0
link2,1080,700.0,120,100.0,0.0,0.0,20.0
link2,1080,800.0,120,100.0,0.0,0.0,20.0
link2,1080,900.0,120,100.0,0.0,0.0,20.0
link3,0,0.0,120,100.0,0.20833333333333331,0.010416666666666668,19.999999999999996
link3,0,100.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link3,0,200.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link3,0,300.0,120,100.0,0.16666666666666669,0.008333333333333333,20.000000000000004
link3,0,400.0,120,100.0,0.125,0.00625,20.0
link3,0,500.0,120,100.0,0.125,0.00625,20.0
link3,0,600.0,120,100.0,0.08333333333333334,0.004166666666666667,20.000000000000004
link3,0,700.0,120,100.0,0.08333333333333334,0.004166666666666667,20.000000000000004
link3,0,800.0,120,100.0,0.08333333333333334,0.004166666666666667,20.000000000000004
link3,0,900.0,120,100.0,0.04166666666666667,0.0020833333333333333,20.000000000000004
link3,120,0.0,120,100.0,0.375,0.01875,20.0
link3,120,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,120,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,120,300.0,120,100.0,0.375,0.01875,20.0
link3,120,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,120,500.0,120,100.0,0.375,0.01875,20.0
link3,120,600.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,120,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,120,800.0,120,100.0,0.375,0.01875,20.0
link3,120,900.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,200.0,120,100.0,0.375,0.01875,20.0
link3,240,300.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,400.0,120,100.0,0.375,0.01875,20.0
link3,240,500.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,600.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,700.0,120,100.0,0.375,0.01875,20.0
